metric,current_value,industry_avg,unit,note
cvr_email,0.0004,0.025,rate,メルマガ経由 0.04%
cvr_meta_ads,0.0009,0.025,rate,Meta広告経由 0.09%
cvr_o2o,0.02,0.03,rate,船内→EC 2%
annual_traffic_email,400000,clicks,clicks,66000配信×6回
annual_traffic_o2o,50000,visitors,visitors,乗船客の一部
annual_traffic_sns,100000,clicks,clicks,コンテンツ力次第
repeat_rate,0.10,0.25,rate,推定10%
avg_order_value_low,5000,yen,yen,価格帯A
avg_order_value_high,10000,yen,yen,価格帯B
gross_margin_rate,0.15,rate,rate,ドロップシップ商社モデル
cart_abandonment_rate,0.70,0.70,rate,業界共通
cart_add_rate_food,0.15,0.07,rate,食品カテゴリは高め
